timestamp,channel 1,channel 2,channel 3,channel 4
11/02/2021 18:15:26,>Range,56342.7,>Range,>Range
11/02/2021 18:15:27,>Range,56291,>Range,>Range
11/02/2021 18:15:28,>Range,56265.1,>Range,>Range
11/02/2021 18:15:29,>Range,56204,>Range,>Range
11/02/2021 18:15:30,>Range,56207.7,>Range,>Range
11/02/2021 18:15:31,>Range,56221.6,>Range,>Range
11/02/2021 18:15:32,>Range,56149.2,>Range,>Range
11/02/2021 18:15:33,>Range,56104.9,>Range,>Range
11/02/2021 18:15:34,>Range,56054.4,>Range,>Range
11/02/2021 18:15:35,>Range,56027.5,>Range,>Range
11/02/2021 18:15:36,>Range,55944.8,>Range,>Range
11/02/2021 18:15:37,>Range,55889.8,>Range,>Range
11/02/2021 18:15:38,>Range,55878.8,>Range,>Range
11/02/2021 18:15:39,>Range,55838,>Range,>Range
11/02/2021 18:15:40,>Range,55815.3,>Range,>Range
11/02/2021 18:15:41,>Range,55819.1,>Range,>Range
11/02/2021 18:15:42,>Range,55817,>Range,>Range
11/02/2021 18:15:43,>Range,55795.5,>Range,>Range
11/02/2021 18:15:44,>Range,55764.7,>Range,>Range
11/02/2021 18:15:45,>Range,55730.2,>Range,>Range
11/02/2021 18:15:46,>Range,55689.2,>Range,>Range
11/02/2021 18:15:47,>Range,55687.8,>Range,>Range
11/02/2021 18:15:48,>Range,55706.4,>Range,>Range
11/02/2021 18:15:49,>Range,55702.9,>Range,>Range
11/02/2021 18:15:50,>Range,55772.2,>Range,>Range
11/02/2021 18:15:51,>Range,55877.5,>Range,>Range
11/02/2021 18:15:52,>Range,56071.5,>Range,>Range
11/02/2021 18:15:53,>Range,56203.8,>Range,>Range
11/02/2021 18:15:54,>Range,56300.8,>Range,>Range
11/02/2021 18:15:55,>Range,56358.6,>Range,>Range
11/02/2021 18:15:56,>Range,56449.4,>Range,>Range
11/02/2021 18:15:57,>Range,56568.2,>Range,>Range
11/02/2021 18:15:58,>Range,56631.2,>Range,>Range
11/02/2021 18:15:59,>Range,56698.3,>Range,>Range
11/02/2021 18:16:00,>Range,56676.8,>Range,>Range
11/02/2021 18:16:01,>Range,56658.5,>Range,>Range
11/02/2021 18:16:02,>Range,56697.7,>Range,>Range
11/02/2021 18:16:03,>Range,56704.4,>Range,>Range
