time,flow_scfh
10/16/2021 18:17:40,132331.3
10/16/2021 18:17:41,131342
10/16/2021 18:17:42,132308.2
10/16/2021 18:17:43,130242.1
10/16/2021 18:17:44,130022.5
10/16/2021 18:17:45,131353
10/16/2021 18:17:46,138277.2
10/16/2021 18:17:47,130940.4
10/16/2021 18:17:48,131023.6
10/16/2021 18:17:49,130692
10/16/2021 18:17:50,130989.8
10/16/2021 18:17:51,132626.9
10/16/2021 18:17:52,130958.7
10/16/2021 18:17:53,130044.3
10/16/2021 18:17:54,131528.6
10/16/2021 18:17:55,132574.9
10/16/2021 18:17:56,130465.8
10/16/2021 18:17:57,131257.4
10/16/2021 18:17:58,131430.3
10/16/2021 18:17:59,130631.3
10/16/2021 18:18:00,132389.1
10/16/2021 18:18:02,131648.8
10/16/2021 18:18:03,132219.6
10/16/2021 18:18:06,134631.2
10/16/2021 18:18:07,132928.3
10/16/2021 18:18:08,131096.5
10/16/2021 18:18:09,132810.9
10/16/2021 18:18:10,131874
10/16/2021 18:18:11,131699
10/16/2021 18:18:12,132424.5
10/16/2021 18:18:13,132606.4
10/16/2021 18:18:14,132882.7
10/16/2021 18:18:15,133922.8
10/16/2021 18:18:16,133248.7
10/16/2021 18:18:17,132316
10/16/2021 18:18:18,133304.2
10/16/2021 18:18:19,132558.7
10/16/2021 18:18:20,132845.8
10/16/2021 18:18:21,133544.4
10/16/2021 18:18:23,133734.8
10/16/2021 18:18:24,133871.1
10/16/2021 18:18:25,133329.1
10/16/2021 18:18:26,133902.1
10/16/2021 18:18:27,133812.3
10/16/2021 18:18:29,134092.6
10/16/2021 18:18:30,134593.6
10/16/2021 18:18:31,133124.3
10/16/2021 18:18:32,134245.5
10/16/2021 18:18:33,134112
10/16/2021 18:18:34,133281.6
10/16/2021 18:18:35,133701.2
10/16/2021 18:18:36,133466.6
10/16/2021 18:18:37,133307.1
10/16/2021 18:18:38,134176.7
10/16/2021 18:18:39,134000.9
10/16/2021 18:18:41,134565.6
10/16/2021 18:18:42,134097.7
10/16/2021 18:18:43,134515.8
10/16/2021 18:18:44,135253.9
10/16/2021 18:18:45,131861.8
10/16/2021 18:18:46,135939.6
