,Stanford_timestamp,cr_kgh_CH4_mean900,cr_kgh_CH4_lower900,cr_kgh_CH4_upper900,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UnblindingStage,PipeSize_inch,MeterCode,PlumeEstablished,PlumeSteady,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600,Operator_Timestamp,PlumeDevelopIndex,tc_Classification
47,2021-10-22 16:45:00+00:00,0.6832921463528312,-8.736275847424183,10.367141789580229,749.76,,,1,4.0,218645.0,True,True,-2.3682432051005646,-12.04211642143758,7.249368545242706,-0.5924844645651578,-10.238264260401534,8.95572724510158,2021-10-22 16:45:00+00:00,> 15,FP
48,2021-10-22 17:00:00+00:00,-2.246139476556863,-11.728786347546663,7.184412753761258,757.48,,,1,4.0,218645.0,True,True,-2.220429978746717,-11.745259072316658,7.346892015133881,-2.297262012793784,-11.6398880597284,7.139314850123606,2021-10-22 17:00:00+00:00,> 15,FP
49,2021-10-22 17:15:00+00:00,-2.2891464687960212,-11.704371386916248,7.235413734344506,0,,,1,4.0,218645.0,True,True,-2.1832978839258637,-11.740764409450744,7.263887938913698,-2.125070361993176,-11.59381581348353,7.267898697050391,2021-10-22 17:15:00+00:00,> 15,TN
50,2021-10-22 17:30:00+00:00,-2.2385038714523366,-11.890390856220144,7.523319311557564,686.69,,,1,4.0,218645.0,True,True,-2.3329865312437095,-11.648942525940086,7.153136262654596,-2.1917069340912416,-11.781108322730677,7.224659337393692,2021-10-22 17:30:00+00:00,> 15,FP
51,2021-10-22 17:45:00+00:00,256.8442885686271,238.89870138011213,275.00994225076755,0,,,1,4.0,218645.0,True,True,775.076929519941,731.4657858206059,818.8473117201951,386.3897303667751,362.04363514141727,410.74530401666055,2021-10-22 17:45:00+00:00,> 15,FN
52,2021-10-22 18:00:00+00:00,915.1558836746095,864.382552847181,967.3332177423883,,,,1,4.0,218645.0,True,True,931.8004723184429,879.9553234068053,984.6226880555588,941.6605835356189,889.7391224146276,995.0848673268852,,< 10,ER
53,2021-10-22 18:15:00+00:00,1166.7363615487743,1102.9499545070673,1232.5699114341714,,,,1,4.0,218645.0,True,True,1249.9947886689915,1181.744819701398,1319.1317527569747,1269.7390853000172,1200.2874461862912,1341.7813839473672,,< 15,ER
54,2021-10-22 18:30:00+00:00,1682.94288077864,1591.4814479130564,1776.2607087529689,417.7,,,1,4.0,218645.0,True,True,1707.3190348727464,1613.0474566652354,1801.5112598749577,1731.3065950942516,1637.1253782606539,1830.8812424054238,2021-10-22 18:30:00+00:00,< 15,TP
55,2021-10-22 18:45:00+00:00,1514.3247766099312,1431.2915877393027,1598.278466169898,,,,1,4.0,218645.0,True,True,1031.5441940824633,974.6713689384987,1090.1748864901167,1432.4140240815627,1354.2696700161325,1511.349916855991,,< 5,ER
56,2021-10-22 19:00:00+00:00,533.9751869987218,502.8400081882624,565.2610382355633,,,,1,4.0,218645.0,True,True,936.2050740506597,883.2767703132363,987.8524481532796,643.09069341649,605.6752871005755,679.9903827922915,,< 5,ER
