,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,Round 3 test set,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,cr_scfh_mean900,TestLocation,Wind_MPS_mean300,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600,cr_kgh_CH4_mean900,cr_kgh_CH4_lower900,cr_kgh_CH4_upper900,PlumeDevelopIndex
43,2080,,,,,,2021-10-21 20:15:00+00:00,,,,,,0,,,,2.0,303.0,,,,2021-10-21 20:15:00+00:00,,,SOOFIE,1,,-124.4,0.5,21175085.0,267.75974396606495,False,1.4,276.6850687649336,277.00383036489336,276.4725610316273,276.9400780449015,444.06678490372036,662.7478678626721,AZ,2.390933333333334,2021-10-21 20:07:40+00:00,2021-10-21 20:18:48+00:00,2041.0,1215.505,True,7.333333333333333,True,FN,0.0,5.060566683668413,5.026887120651455,5.082105594231659,5.066168339092151,5.032602974347329,5.08788423444108,5.056866282317394,5.023076550023443,5.0782531659115016,5.065710976100061,5.031459803823545,5.086728506616954,8.081600491680286,8.02801350155739,8.116198225184093,12.029122211156878,11.948480881757943,12.07973047222168,< 10
44,2081,,,,,,2021-10-21 20:30:00+00:00,,,,,,0,,,,2.4,294.0,,,,2021-10-21 20:30:00+00:00,,,SOOFIE,1,,-124.4,0.5,21175085.0,1606.5584637963898,False,8.4,1606.5584637963898,1604.6458941966323,1492.654318744159,1321.3305841525387,1286.2349319969867,1065.9600410382368,AZ,2.9711000000000003,2021-10-21 20:29:05+00:00,2021-10-22 17:45:55+00:00,2043.0,143.2,False,0.9166666666666666,True,NE,-1.0,29.059527104666405,28.867148435249288,29.18424325654718,29.02515518287058,28.83286515832817,29.14958339066047,27.004997608367585,26.82538326621951,27.12005006131807,23.914123673653524,23.754330945604778,24.0152633803807,23.280593910061896,23.125221992638483,23.37924390102607,19.30540571551207,19.176632725689863,19.38728085883982,< 5
45,2082,,,,,,2021-10-21 20:45:00+00:00,,,,,,0,,,,2.7,295.0,,,,2021-10-21 20:45:00+00:00,,,SOOFIE,1,,-124.4,0.5,21175085.0,1491.8042878109331,False,7.8,1502.6421822095592,1515.7114078079032,1530.0556798060854,1580.9300311596378,1594.6686561178967,1599.8007178772461,AZ,1.9351333333333331,2021-10-21 20:29:05+00:00,2021-10-22 17:45:55+00:00,2043.0,2374.665,True,15.916666666666668,True,FN,0.0,27.187128895028273,27.004419117653608,27.30105255457146,27.418187059022813,27.238689291235648,27.537896098328744,27.67828488494607,27.495814908351676,27.797846144112995,28.598404073915322,28.407752269056854,28.719800795409792,28.842652629021917,28.654020680814106,28.968774373498,28.938144560824277,28.746014176473395,29.06177838327621,> 15
46,2083,,,,,,2021-10-21 21:00:00+00:00,,,,,,0,,,,3.4,270.0,,,,2021-10-21 21:00:00+00:00,,,SOOFIE,1,,-124.4,0.5,21175085.0,0.0,False,,0.0,0.0,0.0,0.0,0.0,0.0,AZ,2.0785,2021-10-21 20:29:05+00:00,2021-10-22 17:45:55+00:00,2043.0,4619.82,True,30.91666666666667,False,TN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,> 15
47,2162,,,,,,2021-10-22 16:45:00+00:00,,,,,,749.76,,,,2.1,312.0,,,,2021-10-22 16:45:00+00:00,,,SOOFIE,1,,-131.6,4.0,218645.0,-131.6,False,,-129.40000000000023,-128.37,-127.62000000000009,-126.247,-32.373537286835486,35.79472980150455,AZ,2.672833333333333,2021-10-21 20:29:05+00:00,2021-10-22 17:45:55+00:00,2043.0,7012.32,True,1215.9166666666667,True,FP,0.0,-2.3386021842273803,-12.023360250351102,7.345217745798233,-2.3509552980113346,-11.608924574468224,6.875546976542802,-2.3439526378590645,-11.908466974017742,7.2951929421591,-2.3682432051005646,-12.04211642143758,7.249368545242706,-0.5924844645651578,-10.238264260401534,8.95572724510158,0.6832921463528312,-8.736275847424183,10.367141789580229,> 15
48,2163,,,,,,2021-10-22 17:00:00+00:00,,,,,,757.48,,,,1.3,277.0,,,,2021-10-22 17:00:00+00:00,,,SOOFIE,1,,-122.9,4.0,218645.0,-122.9,False,,-124.11000000000023,-123.48666666666668,-122.26888888888898,-124.80766666666665,-124.63216666666668,-125.18833333333333,AZ,2.4610333333333334,2021-10-21 20:29:05+00:00,2021-10-22 17:45:55+00:00,2043.0,9279.895,True,1230.9166666666667,True,FP,0.0,-2.2553878423235783,-11.839045285518992,7.282349412092779,-2.2108301497401572,-11.8046630571314,7.30448687524308,-2.283851109124923,-11.878795589400843,7.3665062698763295,-2.220429978746717,-11.745259072316658,7.346892015133881,-2.297262012793784,-11.6398880597284,7.139314850123606,-2.246139476556863,-11.728786347546663,7.184412753761258,> 15
49,2164,,,,,,2021-10-22 17:15:00+00:00,,,,,,0,,,,2.0,306.0,,,,2021-10-22 17:15:00+00:00,,,SOOFIE,1,,-136.8,4.0,218645.0,-136.8,False,,-125.47000000000023,-126.48666666666666,-125.94333333333341,-123.80933333333331,-124.54366666666667,-124.6037777777778,AZ,2.0164666666666666,2021-10-21 20:29:05+00:00,2021-10-22 17:45:55+00:00,2043.0,11330.34,True,1245.9166666666667,True,TN,0.0,-2.2007929814874396,-11.702291523678605,7.466958626135048,-2.3318255029160393,-11.89637921581197,7.0747172448691185,-2.118357542640889,-11.683525056893012,7.366663656209267,-2.1832978839258637,-11.740764409450744,7.263887938913698,-2.125070361993176,-11.59381581348353,7.267898697050391,-2.2891464687960212,-11.704371386916248,7.235413734344506,> 15
50,2165,,,,,,2021-10-22 17:30:00+00:00,,,,,,686.69,,,,1.2,241.0,,,,2021-10-22 17:30:00+00:00,,,SOOFIE,1,,-124.2,4.0,218645.0,-124.2,False,,-125.13333333333357,-125.02833333333335,-124.88555555555563,-125.12366666666667,-125.25816666666665,-125.13044444444444,AZ,2.5559,2021-10-21 20:29:05+00:00,2021-10-22 17:45:55+00:00,2043.0,13416.654999999999,True,1260.9166666666667,True,FP,0.0,-2.2645181992262566,-11.928350260798657,7.356062873365672,-2.2626943225970586,-11.833086386099723,7.300766396455807,-2.293803100990782,-11.717124239592628,7.285015616657461,-2.3329865312437095,-11.648942525940086,7.153136262654596,-2.1917069340912416,-11.781108322730677,7.224659337393692,-2.2385038714523366,-11.890390856220144,7.523319311557564,> 15
51,2166,,,,,,2021-10-22 17:45:00+00:00,,,,,,0,,,,0.7,254.0,,,,2021-10-22 17:45:00+00:00,,,SOOFIE,1,,50070.1,4.0,218645.0,50070.1,False,,50297.78666666666,49274.996666666666,47532.59888888889,42943.956000000006,21412.306666666667,14233.791444444443,AZ,2.0252666666666665,2021-10-21 20:29:05+00:00,2021-10-22 17:45:55+00:00,2043.0,15261.395,True,1275.9166666666667,True,FN,0.0,907.9445784784335,857.2446403802904,958.741351708951,889.489338376306,840.3154614462163,939.87116212408,857.4834426475431,809.6841359670008,905.918656077177,775.076929519941,731.4657858206059,818.8473117201951,386.3897303667751,362.04363514141727,410.74530401666055,256.8442885686271,238.89870138011213,275.00994225076755,> 15
52,2167,,,,,,,,,,,,,,,,,,,,,2021-10-22 18:00:00+00:00,,,SOOFIE,1,,50832.2,4.0,218645.0,50832.2,False,,50894.689999999995,50953.52166666666,50974.061111111114,51618.47633333333,52181.96933333333,50731.755,AZ,1.890333333333333,2021-10-22 17:50:42+00:00,2021-10-22 18:04:47+00:00,2045.0,1175.78,True,9.3,True,ER,0.0,918.4342205474313,867.4724695788784,970.965346641286,919.214798813696,867.9404254742982,969.6894007671502,919.7909168535901,868.6979964891453,972.3787452572418,931.8004723184429,879.9553234068053,984.6226880555588,941.6605835356189,889.7391224146276,995.0848673268852,915.1558836746095,864.382552847181,967.3332177423883,< 10
