RH,Temperature,"_id","_index","_score","_type","all_emission",date,device,"device.keyword",emission,"emission_voc",id,"max_voc",methane,operator,region,"short_name","short_name.keyword",site,status,"status.keyword","wind_direction","wind_direction_std","wind_speed"
"44.8",24,"Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 20:00","Stanford-8","Stanford-8",0,0,"Stanford:2021-10-26T02:00","0.517","3.6",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,212,"6.4",7
"43.7","24.4","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 19:45","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-26T01:45","0.519","3.65",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,215,"7.2","8.3"
"42.6","24.7","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 19:30","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-26T01:30","0.508","3.59",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,209,"6.3",7
"40.9","25.1","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 19:15","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-26T01:15","0.507","3.5",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,202,"5.5","6.8"
"39.7","25.7","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 19:00","Stanford-8","Stanford-8",0,0,"Stanford:2021-10-26T01:00","0.51","3.41",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,199,"6.7",7
"35.5","27.1","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 18:30","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-26T00:30","0.505","3.23",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,209,"7.2","6.3"
"33.4","28.2","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 18:15","Stanford-3","Stanford-3",0,0,"Stanford:2021-10-26T00:15","0.53",3,Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,218,"7.3","7.7"
"31.8","29.6","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 18:00","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-26T00:00","0.564","3.09",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,214,"5.5",8
28,"31.3","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 17:45","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-25T23:45","0.569","2.94",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,226,7,"7.3"
"26.2",32,"Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 17:30","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-25T23:30","0.565","2.87",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,217,"8.3","7.3"
"25.7","32.5","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 17:15","Stanford-9","Stanford-9",0,0,"Stanford:2021-10-25T23:15","0.615","2.7",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,219,"8.3","5.6"
"27.6","32.8","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 17:00","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-25T23:00","0.64","2.95",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,235,"6.4","7.1"
"27.7","33.1","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 16:45","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-25T22:45","0.68","3.03",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,211,"8.7","6.4"
"30.3","32.9","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 16:30","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-25T22:30","0.696","3.24",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,217,"6.2","5.9"
"33.5","31.9","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 16:15","Stanford-8","Stanford-8",0,0,"Stanford:2021-10-25T22:15","0.701","3.2",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,227,"7.4","6.6"
"33.1","32.9","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 16:00","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-25T22:00","0.766","3.24",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,216,"9.8","5.4"
