,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,TestLocation,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90
120,30,32.0,,,33931.0,,2021-11-03 19:43:53+00:00,,,,Methane,,339.81802732836144,,,,3.1248096,,,,,2021-11-03 19:43:55+00:00,HRRR,Bridger,1,,17834.6,4.0,308188.0,17834.6,False,,17786.603333333336,17790.106666666605,17798.709999999934,AZ,2021-11-03 19:19:55+00:00,2021-11-03 19:52:49+00:00,2006.0,5681.865,True,True,TP,1.0,321.0794196612913,301.18424175738164,340.99579879223336,320.84075105505207,301.4345319776827,340.5832932687897,321.06756847778985,301.4278156960119,340.93276579890465
121,144,148.0,,,33931.0,,2021-11-03 19:43:53+00:00,,,,Methane,,234.26018685890986,,,,2.1547328,,,,,2021-11-03 19:43:55+00:00,NAM12,Bridger,1,,17834.6,4.0,308188.0,17834.6,False,,17786.603333333336,17790.106666666605,17798.709999999934,AZ,2021-11-03 19:19:55+00:00,2021-11-03 19:52:49+00:00,2006.0,5681.865,True,True,TP,1.0,320.86295638081407,301.50375684269807,340.71732094375545,321.1875526386611,301.95001468030205,340.9303118172597,321.26737389895834,301.77783219699154,341.7507695980555
122,258,264.0,,,33931.0,,2021-11-03 19:43:53+00:00,,,,Methane,,391.81286838293994,,,,3.6031424000000003,,,,,2021-11-03 19:43:55+00:00,Sonic,Bridger,2,,17834.6,4.0,308188.0,17834.6,False,,17786.603333333336,17790.106666666605,17798.709999999934,AZ,2021-11-03 19:19:55+00:00,2021-11-03 19:52:49+00:00,2006.0,5681.865,True,True,TP,1.0,320.9841528452907,301.3086760895268,340.7865132079742,321.13217582433634,301.08301194626233,341.00871311002675,321.126936285916,301.3409128823045,341.09410026649806
123,372,380.0,,,33931.0,,2021-11-03 19:43:53+00:00,,,,Methane,,348.2256233564455,,,,3.2008064,,,,,2021-11-03 19:43:55+00:00,Sonic,Bridger,3,,17834.6,4.0,308188.0,17834.6,False,,17786.603333333336,17790.106666666605,17798.709999999934,AZ,2021-11-03 19:19:55+00:00,2021-11-03 19:52:49+00:00,2006.0,5681.865,True,True,TP,1.0,320.8967147482739,301.75817093137374,340.3870367180538,320.7192509716759,300.9782204560108,340.01157437856585,321.1925706568038,301.45255318505696,340.6042683111155
124,31,33.0,,,33931.0,,2021-11-03 19:47:56+00:00,,,,Methane,,303.9015328353549,,,,3.0532832,,,,,2021-11-03 19:48:00+00:00,HRRR,Bridger,1,,17740.1,4.0,308188.0,17740.1,False,,17825.72333333333,17807.40999999994,17799.345555555494,AZ,2021-11-03 19:19:55+00:00,2021-11-03 19:52:49+00:00,2006.0,6630.03,True,True,TP,1.0,321.58616603751534,301.8944912986302,341.32096639641975,321.3726170319283,301.96541141842897,341.2892822547925,321.21850945282273,301.32307270049284,340.8968157910959
125,145,149.0,,,33931.0,,2021-11-03 19:47:56+00:00,,,,Methane,,208.94293140355552,,,,2.101088,,,,,2021-11-03 19:48:00+00:00,NAM12,Bridger,1,,17740.1,4.0,308188.0,17740.1,False,,17825.72333333333,17807.40999999994,17799.345555555494,AZ,2021-11-03 19:19:55+00:00,2021-11-03 19:52:49+00:00,2006.0,6630.03,True,True,TP,1.0,321.57555148562636,301.4416382192791,341.6367103898538,321.2873705070175,301.4792126143123,340.9392828241563,321.32873031954483,301.37344679823224,340.8912770999245
126,259,265.0,,,33931.0,,2021-11-03 19:47:56+00:00,,,,Methane,,404.736004749703,,,,4.068064,,,,,2021-11-03 19:48:00+00:00,Sonic,Bridger,2,,17740.1,4.0,308188.0,17740.1,False,,17825.72333333333,17807.40999999994,17799.345555555494,AZ,2021-11-03 19:19:55+00:00,2021-11-03 19:52:49+00:00,2006.0,6630.03,True,True,TP,1.0,321.79956108958953,302.0435365590662,341.27667390268164,321.3561034101621,301.4261081002279,340.86969610295597,321.22843773355726,301.90798263331516,340.7447436786661
127,373,381.0,,,33931.0,,2021-11-03 19:47:56+00:00,,,,Methane,,338.4954841329324,,,,3.4019744000000003,,,,,2021-11-03 19:48:00+00:00,Sonic,Bridger,3,,17740.1,4.0,308188.0,17740.1,False,,17825.72333333333,17807.40999999994,17799.345555555494,AZ,2021-11-03 19:19:55+00:00,2021-11-03 19:52:49+00:00,2006.0,6630.03,True,True,TP,1.0,321.42189382513754,301.6295359347853,341.36894597113866,321.3511191121357,301.52441187211963,340.88414469703366,321.1223410504204,301.535599767951,340.65824444741287
128,32,34.0,,,33931.0,,2021-11-03 19:51:54+00:00,,,,Methane,,399.5591928133096,,,,3.1248096,,,,,2021-11-03 19:51:57+00:00,HRRR,Bridger,1,,17842.7,4.0,308188.0,17842.7,False,,17843.09,17822.09833333327,17830.761111111045,AZ,2021-11-03 19:19:55+00:00,2021-11-03 19:52:49+00:00,2006.0,7476.125,True,True,TP,1.0,322.03648771574854,302.24388959914717,341.6855081258984,321.58041416666055,301.72691281012925,341.77061192506227,321.8512172901992,302.2111377231923,341.747201295184
129,146,150.0,,,33931.0,,2021-11-03 19:51:54+00:00,,,,Methane,,273.97426967021954,,,,2.1457919999999997,,,,,2021-11-03 19:51:57+00:00,NAM12,Bridger,1,,17842.7,4.0,308188.0,17842.7,False,,17843.09,17822.09833333327,17830.761111111045,AZ,2021-11-03 19:19:55+00:00,2021-11-03 19:52:49+00:00,2006.0,7476.125,True,True,TP,1.0,321.91040642697715,302.2421290417378,341.7204002959937,321.6527985654724,302.0074842954958,341.2738071817875,321.6650946213615,302.3886365648599,341.2061700749229
130,260,266.0,,,33931.0,,2021-11-03 19:51:54+00:00,,,,Methane,,409.44047983058596,,,,3.2052768,,,,,2021-11-03 19:51:57+00:00,Sonic,Bridger,2,,17842.7,4.0,308188.0,17842.7,False,,17843.09,17822.09833333327,17830.761111111045,AZ,2021-11-03 19:19:55+00:00,2021-11-03 19:52:49+00:00,2006.0,7476.125,True,True,TP,1.0,321.8085168234512,302.20006502635965,341.04778135546604,321.56588880676145,301.79891798599886,341.26245066892056,321.5927406184687,301.9003361615645,341.729027413404
131,374,382.0,,,33931.0,,2021-11-03 19:51:54+00:00,,,,Methane,,383.57531362283964,,,,2.9996384,,,,,2021-11-03 19:51:57+00:00,Sonic,Bridger,3,,17842.7,4.0,308188.0,17842.7,False,,17843.09,17822.09833333327,17830.761111111045,AZ,2021-11-03 19:19:55+00:00,2021-11-03 19:52:49+00:00,2006.0,7476.125,True,True,TP,1.0,322.07565630168335,302.63772432963725,342.19654778618894,321.59804386308537,301.9584855841692,341.42778772211994,321.54243508874185,301.7440062463411,341.18645091074194
132,33,35.0,,,33931.0,,2021-11-03 19:55:57+00:00,,,,Methane,,750.108713498866,,,,3.0577536,,,,,2021-11-03 19:56:03+00:00,HRRR,Bridger,1,,44155.5,4.0,308188.0,44155.5,False,,44095.73666666663,43983.43999999995,44048.69333333326,AZ,2021-11-03 19:52:49+00:00,2021-11-03 20:08:50+00:00,2007.0,674.255,True,True,TP,1.0,795.5209311055345,752.3982007315655,840.2631625419295,793.480940577402,749.6007475339344,838.4658153559686,794.6974898524444,750.8819386725347,839.4995484453162
133,147,151.0,,,33931.0,,2021-11-03 19:55:57+00:00,,,,Methane,,512.9578250842329,,,,2.0921472,,,,,2021-11-03 19:56:03+00:00,NAM12,Bridger,1,,44155.5,4.0,308188.0,44155.5,False,,44095.73666666663,43983.43999999995,44048.69333333326,AZ,2021-11-03 19:52:49+00:00,2021-11-03 20:08:50+00:00,2007.0,674.255,True,True,TP,1.0,795.7909335857928,752.3662524098193,841.4959399972391,793.5577364092427,749.7701241368735,839.0993740729674,794.5704830191057,751.0868510826449,837.9150356397635
134,261,267.0,,,33931.0,,2021-11-03 19:55:57+00:00,,,,Methane,,950.8707705649824,,,,3.8758368,,,,,2021-11-03 19:56:03+00:00,Sonic,Bridger,2,,44155.5,4.0,308188.0,44155.5,False,,44095.73666666663,43983.43999999995,44048.69333333326,AZ,2021-11-03 19:52:49+00:00,2021-11-03 20:08:50+00:00,2007.0,674.255,True,True,TP,1.0,795.1166549300588,751.4498655419436,837.9676141282114,793.4210466608753,751.0609741153118,838.8840649008702,795.0270689892294,750.8831723942552,838.8127525037114
135,375,383.0,,,33931.0,,2021-11-03 19:55:57+00:00,,,,Methane,,810.9645939628186,,,,3.308096,,,,,2021-11-03 19:56:03+00:00,Sonic,Bridger,3,,44155.5,4.0,308188.0,44155.5,False,,44095.73666666663,43983.43999999995,44048.69333333326,AZ,2021-11-03 19:52:49+00:00,2021-11-03 20:08:50+00:00,2007.0,674.255,True,True,TP,1.0,795.4702940260514,752.7719466588293,839.1401719337607,793.8436541487114,750.405613635689,839.0470841120764,794.632185495312,750.6792379127643,838.1202857900954
136,34,36.0,,,33931.0,,2021-11-03 19:59:57+00:00,,,,Methane,,653.7331015005356,,,,3.0532832,,,,,2021-11-03 19:59:59+00:00,HRRR,Bridger,1,,42835.2,4.0,308188.0,42835.2,False,,42825.10999999998,42860.331666666585,42962.9988888888,AZ,2021-11-03 19:52:49+00:00,2021-11-03 20:08:50+00:00,2007.0,1658.5899999999997,True,True,TP,1.0,772.7196270311471,730.1068015571864,816.1672736373154,773.3893440155156,731.1143276130085,815.9081817207066,774.8719478290951,732.860770506014,818.9056728434086
