,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,Round 3 test set,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,cr_scfh_mean900,TestLocation,Wind_MPS_mean300,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600,cr_kgh_CH4_mean900,cr_kgh_CH4_lower900,cr_kgh_CH4_upper900,FlowError_kgh,FlowError_percent
251,404,412.0,,,33931,,2021-11-04 17:21:38+00:00,,,,Methane,,1499.801770564883,,,,3.6701984000000003,,,,,2021-11-04 17:21:38+00:00,,Sonic,Bridger,3,,2530.2,4.0,308188.0,60075.5,False,,60067.28333333333,60094.228333333325,60214.113333333335,60406.816,52929.3095,44827.91077777778,AZ,3.593866666666666,2021-11-04 17:14:17+00:00,2021-11-04 17:31:58+00:00,2014.0,1546.46,True,7.35,True,TP,1.0,1083.097123120942,1024.0733250151332,1146.3197930939052,1082.0368687165235,1021.6437437636171,1145.3826193425123,1084.9125968727278,1027.9253717177344,1139.4911271682172,1088.0940693913158,1028.488406762518,1151.6231756634966,954.2880066972938,904.583672507584,1007.8854655866264,806.9930561645295,766.4125295089502,857.0248750142619,417.7649018483596,38.60911896134358
252,63,65.0,,,33931,,2021-11-04 17:26:32+00:00,,,,Methane,,1066.7633414330003,,,,3.5047935999999997,,,,,2021-11-04 17:26:32+00:00,,HRRR,Bridger,1,,2530.2,4.0,308188.0,59577.1,False,,59517.193333333336,59582.41,59584.793333333335,59750.27,60088.603166666675,54992.93444444444,AZ,3.8332333333333333,2021-11-04 17:14:17+00:00,2021-11-04 17:31:58+00:00,2014.0,2673.8199999999997,True,12.25,True,TP,1.0,1073.8962015479508,1013.7210376537074,1134.8152565255807,1072.7739355074066,1014.4186152213879,1129.1366146918326,1073.5729832813454,1014.594928941728,1134.1998804228497,1075.7538934722818,1022.4828806766127,1133.965304395321,1084.1149139385675,1029.2152029597535,1146.2473416439173,990.9773090452566,941.7376606518925,1045.2337635597546,-6.010594074406299,-0.5602852451447168
253,177,181.0,,,33931,,2021-11-04 17:26:32+00:00,,,,Methane,,767.7741118949529,,,,2.5213056,,,,,2021-11-04 17:26:32+00:00,,NAM12,Bridger,1,,2530.2,4.0,308188.0,59577.1,False,,59517.193333333336,59582.41,59584.793333333335,59750.27,60088.603166666675,54992.93444444444,AZ,3.8332333333333333,2021-11-04 17:14:17+00:00,2021-11-04 17:31:58+00:00,2014.0,2673.8199999999997,True,12.25,True,TP,1.0,1073.1569866661578,1014.5228271867725,1133.0721816469722,1070.785780754353,1015.6051820388885,1134.060779963519,1071.019459690898,1011.6307701813964,1126.819855190669,1075.95847729653,1018.8072823041441,1137.1047369820596,1082.110385200689,1021.2490067604957,1146.298918811681,988.768123862109,938.6380555373627,1042.359869196188,-303.0116688594002,-28.2980661777123
254,291,297.0,,,33931,,2021-11-04 17:26:32+00:00,,,,Methane,,1386.743220829927,,,,4.5553376,,,,,2021-11-04 17:26:32+00:00,,Sonic,Bridger,2,,2530.2,4.0,308188.0,59577.1,False,,59517.193333333336,59582.41,59584.793333333335,59750.27,60088.603166666675,54992.93444444444,AZ,3.8332333333333333,2021-11-04 17:14:17+00:00,2021-11-04 17:31:58+00:00,2014.0,2673.8199999999997,True,12.25,True,TP,1.0,1073.824407251677,1015.6316612433644,1133.7883609623732,1073.639794419493,1014.9029529597864,1129.6023198159742,1070.8920282391377,1013.6384488860614,1137.201269277926,1077.1982242591068,1018.9094048454189,1138.9375794804907,1080.8751782223103,1020.8088057467655,1142.5881625028665,990.943494867101,939.7473092593979,1046.9250584176125,313.10342641043394,29.16280004130492
255,405,413.0,,,33931,,2021-11-04 17:26:32+00:00,,,,Methane,,1176.9311896122326,,,,3.866896,,,,,2021-11-04 17:26:32+00:00,,Sonic,Bridger,3,,2530.2,4.0,308188.0,59577.1,False,,59517.193333333336,59582.41,59584.793333333335,59750.27,60088.603166666675,54992.93444444444,AZ,3.8332333333333333,2021-11-04 17:14:17+00:00,2021-11-04 17:31:58+00:00,2014.0,2673.8199999999997,True,12.25,True,TP,1.0,1073.923706323118,1015.0634673069878,1133.7119068824925,1072.4055228449881,1015.1816361382923,1126.561398043201,1073.8653375566983,1016.342623285844,1138.3547380925022,1078.1000758676869,1026.1032924371343,1138.4786729310506,1084.04873793622,1026.1996199294244,1145.9648257649424,988.5086671033615,939.0890741045039,1050.2209743787541,104.5256667672445,9.746841520355847
256,64,66.0,,,33931,,2021-11-04 17:30:38+00:00,,,,Methane,,1014.7873938526419,,,,3.4824416,,,,,2021-11-04 17:30:38+00:00,,HRRR,Bridger,1,,2530.2,4.0,308188.0,59273.4,False,,59379.71,59351.74,59371.39,59449.28800000001,59647.5075,59970.53711111111,AZ,4.604400000000001,2021-11-04 17:14:17+00:00,2021-11-04 17:31:58+00:00,2014.0,3811.9049999999997,True,16.35,True,TP,1.0,1071.7718770569156,1014.2454296830805,1131.1174226119902,1069.039024664991,1014.1838955977212,1127.9172488736867,1071.849097353752,1023.1415509066564,1133.6218450607325,1070.3778470207633,1014.1966127000268,1136.2188710847468,1073.7313883557106,1016.3123631052138,1136.5819163607507,1082.2829416882619,1023.4453886913905,1148.2008175354615,-54.25163081234916,-5.074803590949377
257,178,182.0,,,33931,,2021-11-04 17:30:38+00:00,,,,Methane,,734.1626212568368,,,,2.5168352,,,,,2021-11-04 17:30:38+00:00,,NAM12,Bridger,1,,2530.2,4.0,308188.0,59273.4,False,,59379.71,59351.74,59371.39,59449.28800000001,59647.5075,59970.53711111111,AZ,4.604400000000001,2021-11-04 17:14:17+00:00,2021-11-04 17:31:58+00:00,2014.0,3811.9049999999997,True,16.35,True,TP,1.0,1071.3547031846083,1013.0356314035531,1129.003454580637,1069.5479175658993,1016.3919177929957,1133.0264927782318,1068.711342295866,1011.4561979786417,1128.403228819405,1068.7508144607148,1012.8354285270087,1131.8873652047719,1071.3734833328626,1012.3458473289895,1131.1245154130306,1079.9668502322952,1022.5607337677948,1137.1022694487651,-335.3852963090625,-31.357669048838854
258,292,298.0,,,33931,,2021-11-04 17:30:38+00:00,,,,Methane,,1399.4963159287065,,,,4.8012096,,,,,2021-11-04 17:30:38+00:00,,Sonic,Bridger,2,,2530.2,4.0,308188.0,59273.4,False,,59379.71,59351.74,59371.39,59449.28800000001,59647.5075,59970.53711111111,AZ,4.604400000000001,2021-11-04 17:14:17+00:00,2021-11-04 17:31:58+00:00,2014.0,3811.9049999999997,True,16.35,True,TP,1.0,1071.7086168356907,1013.1297396131181,1131.0611051046176,1070.5699090005369,1013.8749964364204,1128.6073052282165,1069.4400221971634,1015.0495163885703,1129.7974514260593,1070.4205353541513,1013.9220850579209,1127.5624308727956,1076.6619726521517,1022.9927816377897,1141.0429599772194,1082.1728540897611,1022.9380978782691,1146.368243007546,328.9264069281696,30.724421092243187
259,406,414.0,,,33931,,2021-11-04 17:30:38+00:00,,,,Methane,,1160.3805061951502,,,,3.978656,,,,,2021-11-04 17:30:38+00:00,,Sonic,Bridger,3,,2530.2,4.0,308188.0,59273.4,False,,59379.71,59351.74,59371.39,59449.28800000001,59647.5075,59970.53711111111,AZ,4.604400000000001,2021-11-04 17:14:17+00:00,2021-11-04 17:31:58+00:00,2014.0,3811.9049999999997,True,16.35,True,TP,1.0,1070.8609764647117,1012.7617505814129,1132.1371510406086,1067.9529884778271,1013.5099131310461,1130.9186721610602,1071.1220668903686,1014.7473816601171,1133.9756918121243,1069.3655551017328,1015.2639886516175,1129.0537086428642,1073.1887321570962,1012.8054568006247,1137.3874767560428,1080.0528977585727,1020.3744707772601,1137.646402678057,92.4275177173231,8.654642921039223
260,65,67.0,,,33931,,2021-11-04 17:35:12+00:00,,,,Methane,,599.6410848074911,,,,3.4556192,,,,,2021-11-04 17:35:12+00:00,,HRRR,Bridger,1,,2530.2,4.0,308188.0,36000.5,False,,35829.93666666667,35937.645000000004,35857.403333333335,42982.047333333336,51226.8415,54124.158111111115,AZ,4.8551,2021-11-04 17:31:58+00:00,2021-11-04 17:53:34+00:00,2015.0,1016.54,True,3.2333333333333334,True,TP,1.0,646.2998185220381,609.8911428027824,683.0979422959401,646.3138467125203,610.9671475256476,681.2909536739646,644.862291738642,612.7466704132898,681.9796193737943,774.5008315472196,735.0470844690498,819.3438238639523,921.2956960429349,870.8804825947245,973.9050890703973,972.78017804568,923.7127840386596,1031.560668099997,-46.67276190502923,-7.221377376089117
