time,release_scfh
8/3/2021 16:36,18926.71
8/3/2021 16:36,18821.89
8/3/2021 16:37,18902.38
8/3/2021 16:37,18911.88
8/3/2021 16:37,18841.04
8/3/2021 16:37,18956.38
8/3/2021 16:37,19963.25
8/3/2021 16:37,18979.81
8/3/2021 16:38,18936.62
8/3/2021 16:38,19011.04
8/3/2021 16:38,18938.94
8/3/2021 16:38,18967.99
8/3/2021 16:38,19005.03
8/3/2021 16:38,19030.82
8/3/2021 16:39,19235.74
8/3/2021 16:39,19133.7
8/3/2021 16:39,19044.81
8/3/2021 16:39,18797.82
8/3/2021 16:39,19060.57
8/3/2021 16:39,19092.78
8/3/2021 16:40,18859
8/3/2021 16:40,18987.63
8/3/2021 16:40,18927.26
8/3/2021 16:40,18893.41
8/3/2021 16:40,18965.64
8/3/2021 16:40,18957
8/3/2021 16:41,18815.22
8/3/2021 16:41,18935.77
8/3/2021 16:41,18836.7
8/3/2021 16:41,18855.81
8/3/2021 16:41,18731.24
8/3/2021 16:41,18827.13
8/3/2021 16:42,18897.22
8/3/2021 16:42,18954.59
8/3/2021 16:42,18976.24
8/3/2021 16:42,18815.2
8/3/2021 16:42,18746.27
8/3/2021 16:42,18831.62
8/3/2021 16:43,18825.17
8/3/2021 16:43,18876.95
8/3/2021 16:43,18772.2
8/3/2021 16:43,18920.76
8/3/2021 16:43,18765.46
8/3/2021 16:43,18855.52
8/3/2021 16:44,18789.48
8/3/2021 16:44,18759.4
8/3/2021 16:44,18737.78
8/3/2021 16:44,18712.73
8/3/2021 16:44,18769.4
8/3/2021 16:44,18773.22
8/3/2021 16:45,18676.44
8/3/2021 16:45,18767.63
8/3/2021 16:45,18820.52
8/3/2021 16:45,18858.83
8/3/2021 16:45,18712.74
8/3/2021 16:45,18702.54
8/3/2021 16:46,18676.58
8/3/2021 16:46,18609.25
8/3/2021 16:46,18683.53
8/3/2021 16:46,18597.19
8/3/2021 16:46,18578.63
8/3/2021 16:46,18539.5
8/3/2021 16:47,18520.64
8/3/2021 16:47,18395.2
8/3/2021 16:47,18247.28
8/3/2021 16:47,18537.46
8/3/2021 16:47,18412.77
8/3/2021 16:47,18382.62
8/3/2021 16:48,18541.29
8/3/2021 16:48,18293
8/3/2021 16:48,18273.24
8/3/2021 16:48,18462.68
8/3/2021 16:48,18437.35
8/3/2021 16:48,18425.43
8/3/2021 16:49,18449.21
8/3/2021 16:49,18607.92
8/3/2021 16:49,4419.83
8/3/2021 16:49,0
8/3/2021 16:49,331.83
8/3/2021 16:49,31910.9
