,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,TestLocation,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
10,1680,,6,1.0,1.0,,2021-10-27 18:26:30+00:00,,,,Methane,1020.9,5645,,,2098,3.744716667,,,,,2021-10-27 18:26:30+00:00,,PRISMA/UPV,2,,188145.0,8.0,218645.0,188145.0,False,,187899.6,188305.3,188790.54444444444,190816.70666666667,192626.13333333333,AZ,2021-10-27 18:13:45+00:00,0.0,2009.0,2812.0099999999998,True,12.75,True,TP,1.0,3392.0450919305704,3203.458383533403,3585.1706657136137,3398.2256193955363,3204.5875416945214,3589.791014705967,3407.9661730586395,3217.9241381208244,3599.960777262738,3441.8320012049003,3248.690978217907,3633.7725296023514,3475.326719551988,3275.988063930172,3670.0799489122064
11,1703,,29,1.0,1.0,,2021-10-27 18:26:30+00:00,,,,Methane,422,5051,6454,3648,1-sigma confidence interval,3.36,46.7,191.0,,,2021-10-27 18:26:30+00:00,,PRISMA/Kayrros,2,,188145.0,8.0,218645.0,188145.0,False,,187899.6,188305.3,188790.54444444444,190816.70666666667,192626.13333333333,AZ,2021-10-27 18:13:45+00:00,0.0,2009.0,2812.0099999999998,True,12.75,True,TP,1.0,3390.800280305816,3197.908393000912,3583.521144606197,3397.1363985768176,3204.882709833943,3589.0375191576886,3407.152907857804,3217.6663960859714,3599.503082061631,3443.252056931071,3249.153607186144,3635.382207649507,3475.3599232845454,3280.9944516456258,3671.029044505303
12,1633,,7,1.0,1.0,,2021-10-19 18:24:58+00:00,,,,Methane,170.88 ,5468 ,,,1446,1.481 ,-96.7 ,,,,2021-10-19 18:24:58+00:00,,Sentinel-2/UPV,1,,409664.08,8.0,218645.0,409664.08,False,,409695.38399999996,408949.2795,408024.50677777774,398437.5124333333,382612.9313666666,AZ,2021-10-19 18:05:36+00:00,0.0,2002.0,2874.49,True,19.366666666666667,True,TP,1.0,7390.172205479101,6991.2565980892,7813.392977397205,7378.093030186893,6979.084889289272,7791.8598242433645,7362.023526822775,6953.7784080798565,7782.965002053211,7187.609989842365,6800.225872214086,7593.656415759652,6901.894202327774,6520.539229003228,7290.998709775388
13,1644,,18,1.0,1.0,,2021-10-19 18:24:58+00:00,,,,Methane,319,6790,10408,4095,1-sigma confidence interval,2.9,338,189,,,2021-10-19 18:24:58+00:00,,Sentinel-2/Kayrros,1,,409664.08,8.0,218645.0,409664.08,False,,409695.38399999996,408949.2795,408024.50677777774,398437.5124333333,382612.9313666666,AZ,2021-10-19 18:05:36+00:00,0.0,2002.0,2874.49,True,19.366666666666667,True,TP,1.0,7394.778086684382,6989.4062294281575,7803.023992205017,7382.310933688752,6978.773244506284,7793.439076979079,7360.683773508437,6960.259960731773,7784.746963146764,7190.502711784632,6799.755600084745,7599.283538336708,6906.7988981364415,6522.03201976275,7286.364313806746
14,1658,,32,1.0,1.0,,2021-10-19 18:24:58+00:00,,,,Methane,188,4069,6322,1816,+/- 1 sigma,0.96373,4.321728,UnknownSentinel2Direction,,,2021-10-19 18:24:58+00:00,,Sentinel-2/Harvard,1,,409664.08,8.0,218645.0,409664.08,False,,409695.38399999996,408949.2795,408024.50677777774,398437.5124333333,382612.9313666666,AZ,2021-10-19 18:05:36+00:00,0.0,2002.0,2874.49,True,19.366666666666667,True,TP,1.0,7390.580896213683,6989.381577061179,7807.401671361553,7380.88578543219,6976.0155308888825,7788.695724176913,7363.266779455021,6956.789283219717,7779.973448647371,7192.232362384205,6795.338237308793,7603.073731703894,6900.850267719974,6518.8765397135585,7290.623961810288
15,1666,,40,,,,2021-10-19 18:24:58+00:00,,,,Methane,340,3760,1970,6260,Min/max,1.8  [0.8-2.9],175,,,,2021-10-19 18:24:58+00:00,,Sentinel-2/SRON,1,,409664.08,8.0,218645.0,409664.08,False,,409695.38399999996,408949.2795,408024.50677777774,398437.5124333333,382612.9313666666,AZ,2021-10-19 18:05:36+00:00,0.0,2002.0,2874.49,True,19.366666666666667,True,TP,1.0,7392.455743070255,6989.391279274514,7812.355964673095,7378.860097396466,6976.8739055768265,7793.701358787379,7362.044533924894,6961.777698291726,7779.352686778225,7190.47724200256,6801.347640418581,7583.416135045289,6902.42015938797,6525.685711036809,7288.017970525571
16,1681,,7,1.0,1.0,,2021-10-19 18:24:58+00:00,,,,Methane,170.88 ,7234 ,18:24:58.763092Z,276.50 ,2331,2.40 ,,,,,2021-10-19 18:24:58+00:00,,Sentinel-2/UPV,2,,409664.08,8.0,218645.0,409664.08,False,,409695.38399999996,408949.2795,408024.50677777774,398437.5124333333,382612.9313666666,AZ,2021-10-19 18:05:36+00:00,0.0,2002.0,2874.49,True,19.366666666666667,True,TP,1.0,7391.3142193260355,6991.261111595584,7806.17844649371,7378.912571480071,6975.497771664364,7788.132225773551,7362.292514007613,6956.510465279369,7775.842184833428,7190.1951552441005,6792.517387119457,7595.235042479851,6902.933537158105,6521.972186803596,7305.754364191045
17,1692,,18,1.0,1.0,,2021-10-19 18:24:58+00:00,,,,Methane,319,6098,7431,4765,1-sigma confidence interval,2.49,14.79,189.0,,,2021-10-19 18:24:58+00:00,,Sentinel-2/Kayrros,2,,409664.08,8.0,218645.0,409664.08,False,,409695.38399999996,408949.2795,408024.50677777774,398437.5124333333,382612.9313666666,AZ,2021-10-19 18:05:36+00:00,0.0,2002.0,2874.49,True,19.366666666666667,True,TP,1.0,7389.154536153531,6992.244688405971,7801.483834677068,7379.522380259147,6976.711442589407,7787.555290933788,7363.657340188837,6966.439811690281,7771.627100926702,7190.210119051789,6797.502801848166,7595.51338042522,6906.602691910745,6520.254661650102,7290.263701692347
18,1706,,32,1.0,1.0,,2021-10-19 18:24:58+00:00,,,,Methane,,5684,7053,4315,+/- 1 sigma,1.545715,,,,,2021-10-19 18:24:58+00:00,,Sentinel-2/Harvard,2,,409664.08,8.0,218645.0,409664.08,False,,409695.38399999996,408949.2795,408024.50677777774,398437.5124333333,382612.9313666666,AZ,2021-10-19 18:05:36+00:00,0.0,2002.0,2874.49,True,19.366666666666667,True,TP,1.0,7396.270061913747,6990.2165117325085,7813.269279183859,7375.301704034096,6975.528396771956,7793.35464260373,7361.996708095909,6956.552343932758,7778.660101983704,7193.356006127185,6797.623130058941,7593.789347444321,6903.5587511838,6521.949851119031,7294.352139504187
19,1714,,40,,,,2021-10-19 18:24:58+00:00,,,,Methane,340,4680,3410,6000,Min/max,2.6 [1.7-3.4]  ,197,,,,2021-10-19 18:24:58+00:00,,Sentinel-2/SRON,2,,409664.08,8.0,218645.0,409664.08,False,,409695.38399999996,408949.2795,408024.50677777774,398437.5124333333,382612.9313666666,AZ,2021-10-19 18:05:36+00:00,0.0,2002.0,2874.49,True,19.366666666666667,True,TP,1.0,7392.247507735947,6986.695082439762,7807.798830737222,7382.823639339889,6972.579020957473,7798.425995835872,7363.025270207442,6955.26979077376,7780.119453192623,7190.866946573463,6797.257260263512,7592.64619460725,6905.4040780182195,6532.458981607366,7285.049157398563
