,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,TestLocation,Wind_MPS_mean300,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
20,5,7.0,,,33931,,2021-11-03 18:02:21+00:00,,,,Methane,,254.81628681072002,,,,2.8163519999999997,,,,,2021-11-03 18:02:41+00:00,HRRR,Bridger,1,,11069.0,4.0,308188.0,11069.0,False,,11086.236666666666,11095.993333333334,11089.323333333334,11106.770999999999,11127.139666666666,AZ,2.9335000000000004,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,4849.8949999999995,True,24.066666666666666,True,TP,1.0,200.07138548472986,186.11320860775763,213.9091131530949,200.06073770894008,186.12964929856568,213.95999486199233,200.05134945054357,186.22984462350942,214.08917330558918,200.27581696987787,186.29812061878135,214.23214252097915,200.88011370867767,187.0367948846193,215.00414834841985
21,119,123.0,,,33931,,2021-11-03 18:02:21+00:00,,,,Methane,,225.8525908308258,,,,2.4944832,,,,,2021-11-03 18:02:41+00:00,NAM12,Bridger,1,,11069.0,4.0,308188.0,11069.0,False,,11086.236666666666,11095.993333333334,11089.323333333334,11106.770999999999,11127.139666666666,AZ,2.9335000000000004,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,4849.8949999999995,True,24.066666666666666,True,TP,1.0,200.01645292691506,185.9264919583675,214.0089367547416,200.28792822067575,186.6091084408802,214.3436541010866,200.11816560038062,186.36846507234011,213.9499460670251,200.60450767155623,186.6763708867834,214.65481856545205,200.68352061488727,186.63242618165677,214.91263158588555
22,233,239.0,,,33931,,2021-11-03 18:02:21+00:00,,,,Methane,,239.72040090860946,,,,2.6509471999999996,,,,,2021-11-03 18:02:41+00:00,Sonic,Bridger,2,,11069.0,4.0,308188.0,11069.0,False,,11086.236666666666,11095.993333333334,11089.323333333334,11106.770999999999,11127.139666666666,AZ,2.9335000000000004,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,4849.8949999999995,True,24.066666666666666,True,TP,1.0,200.12899997211682,186.1219838094039,214.14887236711803,200.17987861237737,186.4213460624374,214.34845504516068,200.2015340678482,186.4189439244755,214.41791141443207,200.47292173020574,186.60309392000715,214.21527135316165,200.75616411513542,186.8778938699152,214.647335043424
23,347,355.0,,,33931,,2021-11-03 18:02:21+00:00,,,,Methane,,242.441061196349,,,,2.6777696,,,,,2021-11-03 18:02:41+00:00,Sonic,Bridger,3,,11069.0,4.0,308188.0,11069.0,False,,11086.236666666666,11095.993333333334,11089.323333333334,11106.770999999999,11127.139666666666,AZ,2.9335000000000004,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,4849.8949999999995,True,24.066666666666666,True,TP,1.0,200.07446333990404,186.21117582355248,214.01600629415717,200.34775302991443,186.4758037212174,214.81315512683398,200.04243863755391,185.92415754976358,214.38327691110146,200.41007152200945,186.00725333431396,214.34364036936444,200.75967151952247,186.63731400156948,214.60225130063174
24,6,8.0,,,33931,,2021-11-03 18:06:40+00:00,,,,Methane,,217.67171649338664,,,,2.7805888,,,,,2021-11-03 18:06:43+00:00,HRRR,Bridger,1,,10980.7,4.0,308188.0,10980.7,False,,11032.326666666666,11039.21,11036.288888888888,11068.299666666666,11091.1775,AZ,2.9578999999999995,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,5573.174999999999,True,28.1,True,TP,1.0,199.05995146665182,185.3494412030609,212.98520459831153,199.08116125666163,185.10087731268504,212.97914888288332,199.0473712430376,185.00810162623065,213.38926510015543,199.74315646702243,186.19821003827806,213.66618579855538,200.13898338688128,186.13747445701497,214.15329372008298
25,120,124.0,,,33931,,2021-11-03 18:06:40+00:00,,,,Methane,,189.65269422451303,,,,2.4229568,,,,,2021-11-03 18:06:43+00:00,NAM12,Bridger,1,,10980.7,4.0,308188.0,10980.7,False,,11032.326666666666,11039.21,11036.288888888888,11068.299666666666,11091.1775,AZ,2.9578999999999995,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,5573.174999999999,True,28.1,True,TP,1.0,199.16964482284234,185.23363446112143,213.10960413083032,199.14251669212584,185.26320142670394,212.81021737374851,199.1755581420404,185.05898420417103,213.25265449337644,199.77368748532584,186.00396772772694,213.60668516924622,200.07664926944562,186.04195949205538,214.2386725540968
26,234,240.0,,,33931,,2021-11-03 18:06:40+00:00,,,,Methane,,230.65153328281085,,,,2.9459936,,,,,2021-11-03 18:06:43+00:00,Sonic,Bridger,2,,10980.7,4.0,308188.0,10980.7,False,,11032.326666666666,11039.21,11036.288888888888,11068.299666666666,11091.1775,AZ,2.9578999999999995,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,5573.174999999999,True,28.1,True,TP,1.0,199.1598835132487,185.42394113872555,213.2452984394013,199.18779414921175,185.45631281631816,212.8676219282156,199.1405116546851,184.97323539116766,213.0682627519997,199.76514622426902,185.88494861844234,213.9080207191389,200.1052560907615,186.0685352509766,213.9514937265805
27,348,356.0,,,33931,,2021-11-03 18:06:40+00:00,,,,Methane,,219.48549001854636,,,,2.8029407999999996,,,,,2021-11-03 18:06:43+00:00,Sonic,Bridger,3,,10980.7,4.0,308188.0,10980.7,False,,11032.326666666666,11039.21,11036.288888888888,11068.299666666666,11091.1775,AZ,2.9578999999999995,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,5573.174999999999,True,28.1,True,TP,1.0,199.14669046435998,185.40150807013399,213.35269727838318,199.06377209804054,185.359246586053,213.20818051752082,199.1159833327886,185.30685657554372,213.05297884191705,199.71471262987976,185.71919019053868,213.7528318838707,200.15995007720167,186.466834171442,214.05553168210326
28,7,9.0,,,33931,,2021-11-03 18:10:36+00:00,,,,Methane,,235.8094517449838,,,,2.8074112,,,,,2021-11-03 18:10:52+00:00,HRRR,Bridger,1,,11018.5,4.0,308188.0,11018.5,False,,11021.543333333333,11014.396666666667,11012.135555555556,11015.156666666666,11045.836666666666,AZ,3.1882999999999995,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,6369.084999999999,True,32.25000000000001,True,TP,1.0,198.85505039278976,185.0669798339854,212.72222031712,198.76755568557255,185.09424706441,212.45684164950893,198.73220461098984,184.64974382093465,212.39634838060144,198.76307032989783,184.59776723788758,212.78564760591993,199.1910745380414,185.2945793640106,213.04420806825962
29,121,125.0,,,33931,,2021-11-03 18:10:36+00:00,,,,Methane,,202.29242847796988,,,,2.4050751999999997,,,,,2021-11-03 18:10:52+00:00,NAM12,Bridger,1,,11018.5,4.0,308188.0,11018.5,False,,11021.543333333333,11014.396666666667,11012.135555555556,11015.156666666666,11045.836666666666,AZ,3.1882999999999995,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,6369.084999999999,True,32.25000000000001,True,TP,1.0,198.8847908238626,185.09127506871607,212.83156437269068,198.7994344821239,185.1692989851902,212.7876333074287,198.71766302391035,184.64393673210586,212.57176381027634,198.75401592059401,184.9387271295022,212.541565052754,199.36441143388768,185.39559403420637,213.01004232744512
