,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,Round 3 test set,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,cr_scfh_mean900,TestLocation,Wind_MPS_mean300,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600,cr_kgh_CH4_mean900,cr_kgh_CH4_lower900,cr_kgh_CH4_upper900,FlowError_kgh,FlowError_percent
291,766,312.0,84,1.0,1.0,,2021-08-03 16:39:00+00:00,,,,Methane,132.0340865,374.6225881,542.6238256,206.6213505,,2.572666667,,,1.0,,2021-08-03 16:38:37+00:00,0.0,Sonic,CarbonMapper,2,,19005.03,4.0,218645.0,19005.03,False,,18972.256,19101.001,19058.39777777778,19081.610533333333,22686.78243333333,26865.339888888888,TX,1.6098333333333334,2021-08-03 16:31:35+00:00,2021-08-03 16:50:45+00:00,2023.0,564.085,True,7.033333333333333,True,TP,1.0,306.81938319703,278.4128041172745,336.1415209489305,308.373626752125,283.5509721020957,337.167612836648,308.7607559365589,281.3733332856389,339.1449121111345,308.51297833923786,280.8792851554887,337.2037442741009,364.5049289191822,334.1209588823475,393.88542189466074,432.95982195870323,405.84423943991607,463.9068859294021,66.24896134787497,21.483342154005534
292,935,481.0,F84,1.0,1.0,,2021-08-03 16:39:00+00:00,,,,Methane,200.8208157,160.8637015,209.0045588,112.7228442,,2.572666667,,,1.0,,2021-08-03 16:38:37+00:00,0.0,Sonic,CarbonMapper,3,,19005.03,4.0,218645.0,19005.03,False,,18972.256,19101.001,19058.39777777778,19081.610533333333,22686.78243333333,26865.339888888888,TX,1.6098333333333334,2021-08-03 16:31:35+00:00,2021-08-03 16:50:45+00:00,2023.0,564.085,True,7.033333333333333,True,TP,1.0,306.50222978567837,278.4377096894248,334.9904906289518,305.2566149857559,276.4141591539844,335.60561603880143,304.9037937935661,276.0071193483345,336.02684222189043,310.3409749385795,281.6520412946694,338.59249355109495,365.86212937318015,337.4796114174998,395.71769969280086,433.5872345894759,402.2987154499748,466.10300333319566,-144.3929134857559,-47.302140689889285
293,581,127.0,100.0,1.0,1.0,,2021-08-03 16:41:23+00:00,,,,Methane,148.2194319,141.7098674,202.9280949,80.49163994,,1.405113042,,,1.0,,2021-08-03 16:41:09+00:00,0.0,HRRR,CarbonMapper,1,,18935.77,4.0,218645.0,18935.77,False,,18908.637333333336,18920.90266666667,18945.39888888889,18989.774133333332,19073.004433333335,24105.27391111111,TX,2.4294333333333333,2021-08-03 16:31:35+00:00,2021-08-03 16:50:45+00:00,2023.0,1086.8799999999999,True,9.566666666666666,True,TP,1.0,305.614321166786,277.01333395078024,334.3742012449328,307.2345683687283,282.49843685382535,337.9198788730047,306.62253811266703,277.3026008176772,334.68902230280696,307.2875548481162,279.38716220872647,336.503808723893,308.9406062029611,283.19078179074694,335.655636277979,388.2044179108768,356.28961355683015,421.57132553956217,-165.52470096872827,-53.87567611534957
294,767,313.0,85,1.0,1.0,,2021-08-03 16:41:23+00:00,,,,Methane,148.2194319,353.4225395,405.0518633,301.7932156,,3.504333333,,,1.0,,2021-08-03 16:41:09+00:00,0.0,Sonic,CarbonMapper,2,,18935.77,4.0,218645.0,18935.77,False,,18908.637333333336,18920.90266666667,18945.39888888889,18989.774133333332,19073.004433333335,24105.27391111111,TX,2.4294333333333333,2021-08-03 16:31:35+00:00,2021-08-03 16:50:45+00:00,2023.0,1086.8799999999999,True,9.566666666666666,True,TP,1.0,305.93474105952174,277.7602530818617,334.51855626159823,305.1010104269105,277.114951363599,332.9276504252085,302.8699732560051,275.434226894108,333.79340301120124,306.0108753761366,278.7178944432004,334.65631030454006,308.39227071614596,279.1870738410707,337.86442525341903,386.0053140298,354.8820278596817,419.25664961020794,48.32152907308955,15.837879070107302
295,936,482.0,F85,1.0,1.0,,2021-08-03 16:41:23+00:00,,,,Methane,161.2761607,275.7995488,311.3196585,240.2794391,,3.504333333,,,1.0,,2021-08-03 16:41:09+00:00,0.0,Sonic,CarbonMapper,3,,18935.77,4.0,218645.0,18935.77,False,,18908.637333333336,18920.90266666667,18945.39888888889,18989.774133333332,19073.004433333335,24105.27391111111,TX,2.4294333333333333,2021-08-03 16:31:35+00:00,2021-08-03 16:50:45+00:00,2023.0,1086.8799999999999,True,9.566666666666666,True,TP,1.0,305.6640446958264,277.5020595037854,333.94186994741744,303.81676066879135,275.28141463735295,333.0548709772321,305.6664317121605,275.3579700424818,336.9253947050503,305.364086864484,279.521883838784,334.86026085332594,307.64887167112806,280.06065243127404,337.55636606868,388.49797750832425,356.7013365013212,419.0763668909313,-28.01721186879132,-9.221746623562531
296,582,128.0,101.0,1.0,1.0,,2021-08-03 16:43:34+00:00,,,,Methane,148.946299,137.9290888,204.8840334,70.97414424,,1.405113042,,,1.0,,2021-08-03 16:43:14+00:00,0.0,HRRR,CarbonMapper,1,,18876.95,4.0,218645.0,18876.95,False,,18840.224,18846.53566666667,18859.535444444446,18927.8893,19025.069533333335,21841.838933333333,TX,3.0367333333333333,2021-08-03 16:31:35+00:00,2021-08-03 16:50:45+00:00,2023.0,1458.6350000000002,True,11.65,True,TP,1.0,304.27325696191826,274.8752054667359,333.6077428540688,305.4385709424671,278.46084523886293,335.64986758548446,302.3695415314957,272.9120446281428,333.06995315331966,304.69317044933666,276.5808091068269,334.55030162993063,308.135306082707,281.62833667342926,334.87555166103226,351.66580572135996,321.3631871713761,381.6266003949679,-167.5094821424671,-54.84228191141566
297,768,314.0,86,1.0,1.0,,2021-08-03 16:43:34+00:00,,,,Methane,148.946299,271.8113334,346.3802292,197.2424375,,2.769,,,1.0,,2021-08-03 16:43:14+00:00,0.0,Sonic,CarbonMapper,2,,18876.95,4.0,218645.0,18876.95,False,,18840.224,18846.53566666667,18859.535444444446,18927.8893,19025.069533333335,21841.838933333333,TX,3.0367333333333333,2021-08-03 16:31:35+00:00,2021-08-03 16:50:45+00:00,2023.0,1458.6350000000002,True,11.65,True,TP,1.0,305.1653077022428,276.8018690136832,333.71331491651506,303.7125821428277,273.2034957893529,334.4581594642031,306.1382695689161,275.0304153064841,336.87679931188876,305.5920019326708,278.7763180329024,334.826582509445,304.73788119403866,275.99938483183917,333.29557601814975,352.0042806832847,324.555366040297,379.31232932674476,-31.901248742827704,-10.503762642215928
298,937,483.0,F86,1.0,1.0,,2021-08-03 16:43:34+00:00,,,,Methane,200.1924074,206.8446487,237.1655086,176.5237888,,2.769,,,1.0,,2021-08-03 16:43:14+00:00,0.0,Sonic,CarbonMapper,3,,18876.95,4.0,218645.0,18876.95,False,,18840.224,18846.53566666667,18859.535444444446,18927.8893,19025.069533333335,21841.838933333333,TX,3.0367333333333333,2021-08-03 16:31:35+00:00,2021-08-03 16:50:45+00:00,2023.0,1458.6350000000002,True,11.65,True,TP,1.0,304.8600407774541,276.48950244423594,333.6207037504243,305.2436505176446,277.74408505635523,335.88473728841035,301.68773642811004,273.36586123027485,329.18812465174506,304.83099504085374,277.1999036909718,335.0419518804695,306.53788944041105,278.4521673677364,333.696271121156,353.88313554353635,326.01673175967017,382.5562155588828,-98.3990018176446,-32.23621577411212
299,583,129.0,102.0,1.0,1.0,,2021-08-03 16:45:45+00:00,,,,Methane,144.1561653,137.9507608,202.0821281,73.81939353,,1.405113042,,,1.0,,2021-08-03 16:45:26+00:00,0.0,HRRR,CarbonMapper,1,,18858.83,4.0,218645.0,18858.83,False,,18760.942999999996,18755.758333333335,18757.059444444447,18828.608733333334,18916.170316666667,19500.352944444443,TX,2.8911333333333333,2021-08-03 16:31:35+00:00,2021-08-03 16:50:45+00:00,2023.0,1818.235,True,13.85,True,TP,1.0,302.7321086676178,274.05872950642134,331.28394590131563,304.4857471537114,275.88039600835737,332.61026218735805,302.50946167345546,273.06472463700175,334.14389125116617,304.3336707505424,276.99473696757724,331.92351705880407,308.04504370129064,279.204237128229,337.0073891537427,313.4502407069448,284.7214107653584,343.114285497603,-166.53498635371136,-54.693852802785116
300,769,315.0,87,1.0,1.0,,2021-08-03 16:45:45+00:00,,,,Methane,144.1561653,256.1783327,323.108627,189.2480383,,2.609333333,,,1.0,,2021-08-03 16:45:26+00:00,0.0,Sonic,CarbonMapper,2,,18858.83,4.0,218645.0,18858.83,False,,18760.942999999996,18755.758333333335,18757.059444444447,18828.608733333334,18916.170316666667,19500.352944444443,TX,2.8911333333333333,2021-08-03 16:31:35+00:00,2021-08-03 16:50:45+00:00,2023.0,1818.235,True,13.85,True,TP,1.0,303.4566453905507,274.91474784188676,332.0540927916257,301.50032956319325,269.96096350269204,333.75536986040163,301.8088894271816,271.1638734928613,332.03778373724725,305.05881952707085,275.2966531335975,337.15157620426226,305.8685446424454,279.0792800141602,333.9456912066764,316.3172415808312,286.44739964960064,343.9444835448259,-45.32199686319325,-15.032154999251482
301,938,484.0,F87,1.0,1.0,,2021-08-03 16:45:45+00:00,,,,Methane,185.9516066,214.1247788,253.6119675,174.6375901,,2.609333333,,,1.0,,2021-08-03 16:45:26+00:00,0.0,Sonic,CarbonMapper,3,,18858.83,4.0,218645.0,18858.83,False,,18760.942999999996,18755.758333333335,18757.059444444447,18828.608733333334,18916.170316666667,19500.352944444443,TX,2.8911333333333333,2021-08-03 16:31:35+00:00,2021-08-03 16:50:45+00:00,2023.0,1818.235,True,13.85,True,TP,1.0,303.39278410827376,274.5264094207254,331.9529622258661,301.1424362778396,272.3401344431182,331.9173221768989,304.7186445437987,278.5863243056369,334.1106054023902,302.6304058616268,273.80380661027107,334.4118468916737,305.05288010620126,278.0824633874064,334.12382567040834,314.92370377922776,288.4127408034033,344.85332485028107,-87.01765747783958,-28.89584694651121
302,584,130.0,103.0,1.0,1.0,,2021-08-03 16:47:40+00:00,,,,Methane,138.1303732,152.8469446,220.7394242,84.95446504,,1.405113042,,,1.0,,2021-08-03 16:47:17+00:00,0.0,HRRR,CarbonMapper,1,,18247.28,4.0,218645.0,18247.28,False,,18465.631999999998,18537.906666666666,18579.112,18730.69426666667,18856.4638,18962.8178,TX,2.6531333333333333,2021-08-03 16:31:35+00:00,2021-08-03 16:50:45+00:00,2023.0,2090.105,True,15.700000000000001,True,TP,1.0,298.42636722252615,269.99083121054906,327.0990708897643,297.0411453439291,270.6661810490674,325.25880277679033,299.197486064334,271.71221089911955,328.3675407963757,301.6126319314999,273.10170807475663,330.60351173305367,304.8286984287512,278.9441672137647,332.48899056726066,304.7445918465168,280.03434383400287,333.1072537605673,-144.1942007439291,-48.54351089205969
303,770,316.0,88,1.0,1.0,,2021-08-03 16:47:40+00:00,,,,Methane,138.1303732,139.6723752,177.8405777,101.5041727,,1.284,,,1.0,,2021-08-03 16:47:17+00:00,0.0,Sonic,CarbonMapper,2,,18247.28,4.0,218645.0,18247.28,False,,18465.631999999998,18537.906666666666,18579.112,18730.69426666667,18856.4638,18962.8178,TX,2.6531333333333333,2021-08-03 16:31:35+00:00,2021-08-03 16:50:45+00:00,2023.0,2090.105,True,15.700000000000001,True,TP,1.0,298.1877745872986,269.94509721486105,326.0947845295721,297.8853630762118,269.14145260371225,326.43600301141566,299.7242771896446,271.4048096522151,329.21909056745426,303.978753631909,277.86948098451285,330.58290553982306,305.6291381370826,276.6944755435996,336.35037451896227,305.84065667139487,277.87490585597527,334.70424050708107,-158.21298787621177,-53.11203821576629
304,939,485.0,F88,1.0,1.0,,2021-08-03 16:47:40+00:00,,,,Methane,179.7247896,168.1033066,209.0193197,127.1872935,,1.284,,,1.0,,2021-08-03 16:47:17+00:00,0.0,Sonic,CarbonMapper,3,,18247.28,4.0,218645.0,18247.28,False,,18465.631999999998,18537.906666666666,18579.112,18730.69426666667,18856.4638,18962.8178,TX,2.6531333333333333,2021-08-03 16:31:35+00:00,2021-08-03 16:50:45+00:00,2023.0,2090.105,True,15.700000000000001,True,TP,1.0,297.9547174347094,269.3007218067822,326.382084486805,298.1422913656334,271.3279312176391,329.9993073512695,296.69297340871276,269.7293526351466,326.62223064012886,302.09284534101795,272.1539244921609,331.0857269618426,300.51596898369434,271.79828274363916,329.2260449232396,305.22887209734125,277.4689561195663,332.9644422317721,-130.03898476563342,-43.616416902812766
305,585,131.0,104.0,1.0,1.0,,2021-08-03 16:49:33+00:00,,,,Methane,147.4889826,99.68128357,144.8643417,54.49822544,,1.405113042,,,1.0,,2021-08-03 16:49:17+00:00,0.0,HRRR,CarbonMapper,1,,4419.83,4.0,218645.0,4419.83,False,,17560.48,17980.858,18120.02022222222,18477.967,18677.524566666667,18800.40057777778,TX,2.1536666666666666,2021-08-03 16:31:35+00:00,2021-08-03 16:50:45+00:00,2023.0,2295.2799999999997,True,17.7,False,NS,0.0,283.801998476083,254.47068013225487,312.60836269897004,289.2688553743437,258.2412368371494,320.4887659290148,292.9097703875064,265.9630732003188,320.40043285401526,298.84166713560654,270.7442066974727,328.74130493907234,301.28742332167496,271.9687809993408,330.31342948439016,303.8544132731892,276.4177715615011,331.8334512590533,-189.58757180434367,-65.5402641113914
306,771,317.0,89,1.0,1.0,,2021-08-03 16:49:33+00:00,,,,Methane,147.4889826,120.7193419,148.8250652,92.61361869,,1.701666667,,,1.0,,2021-08-03 16:49:17+00:00,0.0,Sonic,CarbonMapper,2,,4419.83,4.0,218645.0,4419.83,False,,17560.48,17980.858,18120.02022222222,18477.967,18677.524566666667,18800.40057777778,TX,2.1536666666666666,2021-08-03 16:31:35+00:00,2021-08-03 16:50:45+00:00,2023.0,2295.2799999999997,True,17.7,False,NS,0.0,283.82875178436785,254.9078346887068,312.4974122263401,289.03020849186623,261.46244903784697,317.3318669088548,291.1937756221164,263.4723419434164,320.45072022530894,298.2695469549279,269.9697743041871,326.8673260685219,300.070881813801,271.080163441357,330.70906157390334,306.53457236439095,278.27338515087195,334.03128273424096,-168.31086659186622,-58.23296722861505
307,940,486.0,F89,1.0,1.0,,2021-08-03 16:49:33+00:00,,,,Methane,191.7185437,102.4466814,120.3715495,84.52181329,,1.701666667,,,1.0,,2021-08-03 16:49:17+00:00,0.0,Sonic,CarbonMapper,3,,4419.83,4.0,218645.0,4419.83,False,,17560.48,17980.858,18120.02022222222,18477.967,18677.524566666667,18800.40057777778,TX,2.1536666666666666,2021-08-03 16:31:35+00:00,2021-08-03 16:50:45+00:00,2023.0,2295.2799999999997,True,17.7,False,NS,0.0,284.0585842532211,255.50131881125753,313.08713165613585,289.5743691330571,260.0079825625318,319.8809795380197,293.51697045565766,265.8686555164347,321.2130186390129,297.66467126466694,270.09121173954856,327.83019432245345,301.64172480974224,273.214076920076,328.3642455513271,304.20791660485065,277.2064314902812,332.62256810853364,-187.1276877330571,-64.6216335697423
308,586,132.0,105.0,1.0,1.0,,2021-08-03 16:51:25+00:00,,,,Methane,146.4786674,182.639625,272.5197874,92.75946265,,1.405113042,,,1.0,,2021-08-03 16:51:03+00:00,0.0,HRRR,CarbonMapper,1,,55980.36,4.0,218645.0,55980.36,False,,55658.11666666667,50947.013,40622.49422222222,24158.392799999998,21482.67753333333,20652.28022222222,TX,1.8606000000000003,2021-08-03 16:50:45+00:00,2021-08-03 16:55:05+00:00,2024.0,46.355,False,0.3,True,NE,-1.0,899.9687594288519,860.050918493308,939.8247578316377,821.4479890247063,784.9455998042806,862.0007363348234,655.761118045682,623.8791260097074,690.5590045368185,388.6559594940053,359.5441722204374,419.6435074817372,343.5070121479811,316.1674736106214,371.0379807098593,334.27749469682215,303.2261374700811,366.83194191671885,-638.8083640247063,-77.76613645170092
309,772,318.0,90,1.0,1.0,,2021-08-03 16:51:25+00:00,,,,Methane,146.4786674,280.4581696,365.5300321,195.386307,,2.157666667,,,1.0,,2021-08-03 16:51:03+00:00,0.0,Sonic,CarbonMapper,2,,55980.36,4.0,218645.0,55980.36,False,,55658.11666666667,50947.013,40622.49422222222,24158.392799999998,21482.67753333333,20652.28022222222,TX,1.8606000000000003,2021-08-03 16:50:45+00:00,2021-08-03 16:55:05+00:00,2024.0,46.355,False,0.3,True,NE,-1.0,899.793350436025,859.5256833397401,939.7447332903018,821.8126278712388,782.3416040252836,864.2150791648247,657.2050009476675,622.7769399213814,692.0294329502959,389.4592768340025,360.35716836372603,419.3261866201539,346.8362645474301,317.8361563439012,378.14659019930434,333.85438565554017,303.5397960629361,363.7860097708635,-541.3544582712387,-65.87322218125588
